like1,parx,pary,parz,simulation_0,chain
inf,-1.641,5.418,-1.015,inf,1.0
inf,-5.02,-3.33,5.504,inf,1.0
inf,-5.72,0.745,-8.95,inf,1.0
inf,3.342,8.805,4.64,inf,1.0
inf,-9.23,7.25,9.77,inf,1.0
inf,9.66,7.79,5.38,inf,1.0
inf,1.795,5.477,1.421,inf,1.0
48580.0,-4.008,-3.459,1.766,48580.0,1.0
inf,-5.812,-0.4976,-4.53,inf,1.0
inf,-1.557,8.984,7.676,inf,1.0
16540.0,2.627,1.862,-8.37,16540.0,1.0
inf,1.876,5.418,1.947,inf,1.0
inf,2.027,9.78,-4.375,inf,1.0
20530.0,-2.965,-0.802,-9.984,20530.0,1.0
inf,-3.99,5.37,-1.368,inf,1.0
inf,-8.164,-5.164,-7.25,inf,1.0
inf,-9.92,-2.65,-8.055,inf,1.0
inf,-9.9,4.035,-2.787,inf,1.0
1905.0,-2.51,2.033,3.303,1905.0,1.0
inf,4.367,-9.54,5.723,inf,1.0
inf,5.1,-4.81,-9.12,inf,1.0
inf,0.2583,9.03,-9.6,inf,1.0
inf,5.973,2.123,-0.1355,inf,1.0
inf,3.998,-6.164,4.676,inf,1.0
533.5,0.5093,1.897,5.227,533.5,1.0
inf,-1.847,7.93,-8.43,inf,1.0
inf,6.965,-6.906,0.8545,inf,1.0
inf,-8.484,-1.829,8.97,inf,1.0
inf,8.71,-0.7827,8.52,inf,1.0
inf,-1.479,6.895,8.055,inf,1.0
inf,7.258,0.981,10.0,inf,1.0
inf,-8.1,-1.436,-0.2773,inf,1.0
inf,-1.057,8.89,5.973,inf,1.0
inf,1.876,-7.71,5.656,inf,1.0
inf,-6.63,-1.122,-4.582,inf,1.0
inf,-6.617,6.957,-1.776,inf,1.0
1185.0,0.8364,2.648,4.188,1185.0,1.0
42560.0,1.102,4.723,1.985,42560.0,1.0
inf,-8.914,8.28,9.484,inf,1.0
inf,6.996,9.62,2.06,inf,1.0
inf,-9.266,2.295,-1.764,inf,1.0
inf,-3.258,5.168,0.743,inf,1.0
inf,-3.025,-6.04,2.64,inf,1.0
inf,3.146,-6.35,2.652,inf,1.0
inf,-7.17,0.906,-5.76,inf,1.0
1755.0,-1.362,-2.2,5.812,1755.0,1.0
16940.0,3.201,-2.082,0.1671,16940.0,1.0
inf,-4.55,-6.812,-2.89,inf,1.0
inf,-5.156,5.164,-8.766,inf,1.0
inf,-3.998,8.87,-2.65,inf,1.0
inf,-9.46,-6.055,7.0,inf,1.0
inf,6.14,-7.406,-6.426,inf,1.0
12530.0,3.484,1.28,-1.058,12530.0,1.0
inf,9.586,-4.316,9.836,inf,1.0
37120.0,4.496,1.6455,7.773,37120.0,1.0
inf,-1.996,6.043,1.517,inf,1.0
inf,8.88,2.959,-2.32,inf,1.0
inf,-8.94,5.76,7.695,inf,1.0
3164.0,2.43,0.3682,-0.8657,3164.0,1.0
inf,-8.46,5.844,3.225,inf,1.0
inf,9.77,5.98,7.965,inf,1.0
inf,6.965,-9.42,-8.09,inf,1.0
inf,-9.8,4.78,3.168,inf,1.0
inf,0.5654,-7.324,7.2,inf,1.0
inf,-8.875,-9.84,-8.47,inf,1.0
inf,-2.922,-9.586,4.176,inf,1.0
inf,-0.7197,-9.3,-7.75,inf,1.0
inf,-6.145,-7.797,-8.125,inf,1.0
3014.0,-0.652,-2.822,3.557,3014.0,1.0
inf,3.205,7.574,4.773,inf,1.0
inf,-1.688,7.85,-0.202,inf,1.0
inf,8.53,-9.26,-5.71,inf,1.0
inf,-8.74,9.2,7.58,inf,1.0
inf,-5.336,-0.897,2.783,inf,1.0
inf,5.9,3.416,-7.586,inf,1.0
inf,-2.041,-9.97,-2.877,inf,1.0
inf,3.445,-5.19,-9.03,inf,1.0
inf,-9.05,-6.594,8.12,inf,1.0
inf,-6.637,-3.125,6.426,inf,1.0
inf,7.996,-6.324,-2.639,inf,1.0
inf,-7.047,-6.613,4.562,inf,1.0
27170.0,0.795,4.797,7.082,27170.0,1.0
inf,-7.707,-1.866,-0.3835,inf,1.0
inf,-9.02,1.713,-0.3748,inf,1.0
inf,-8.11,-6.85,-4.625,inf,1.0
inf,0.9253,-8.54,-6.63,inf,1.0
24540.0,-0.5586,2.61,-8.69,24540.0,1.0
inf,6.656,5.383,2.451,inf,1.0
3244.0,-0.71,-1.28,7.043,3244.0,1.0
inf,-2.17,-6.47,0.6772,inf,1.0
inf,-2.105,-7.37,7.29,inf,1.0
inf,-5.27,-4.707,1.235,inf,1.0
9540.0,-1.864,1.188,-8.08,9540.0,1.0
25620.0,4.137,2.033,9.516,25620.0,1.0
inf,5.85,-3.025,-4.6,inf,1.0
inf,2.54,-6.973,-5.688,inf,1.0
inf,6.773,3.47,-1.514,inf,1.0
inf,-9.62,-7.742,7.09,inf,1.0
inf,5.96,-7.6,9.016,inf,1.0
inf,3.938,-5.69,8.664,inf,1.0
inf,-9.05,-4.156,3.318,inf,1.0
inf,-1.694,6.043,4.992,inf,1.0
inf,-4.4,9.7,-3.662,inf,1.0
inf,-3.406,7.32,-9.2,inf,1.0
463.5,0.787,-0.4792,-1.615,463.5,1.0
13176.0,1.586,-1.003,-9.914,13176.0,1.0
inf,5.78,-9.57,-0.1714,inf,1.0
27970.0,-1.044,3.9,-1.266,27970.0,1.0
inf,-8.09,-0.00841,-6.35,inf,1.0
inf,2.752,9.266,-4.887,inf,1.0
19500.0,-3.803,1.817,9.2,19500.0,1.0
inf,-6.02,-9.336,-4.836,inf,1.0
7140.0,-2.947,1.058,-2.492,7140.0,1.0
inf,6.08,2.824,8.016,inf,1.0
14680.0,-3.256,1.596,-5.55,14680.0,1.0
inf,8.305,-2.104,3.945,inf,1.0
inf,-3.129,8.945,7.387,inf,1.0
28400.0,3.873,-1.496,-1.182,28400.0,1.0
inf,9.59,3.973,-5.383,inf,1.0
286.2,-0.412,-1.42,2.521,286.2,1.0
inf,-3.87,-6.13,7.902,inf,1.0
inf,-3.258,4.426,-8.03,inf,1.0
inf,3.447,-6.754,-2.672,inf,1.0
inf,-2.379,-9.65,-3.877,inf,1.0
236.0,0.9795,0.1082,1.287,236.0,1.0
inf,5.77,-6.758,-7.29,inf,1.0
inf,9.31,8.61,8.6,inf,1.0
inf,6.293,7.07,-0.3506,inf,1.0
9210.0,3.098,2.85,1.298,9210.0,1.0
inf,-1.754,-8.17,-7.77,inf,1.0
inf,8.79,-2.188,0.8804,inf,1.0
17440.0,-2.959,4.47,7.508,17440.0,1.0
10040.0,-0.781,2.078,-5.594,10040.0,1.0
inf,-6.527,9.13,8.27,inf,1.0
5080.0,-0.3618,-0.971,-6.094,5080.0,1.0
inf,1.003,7.504,-7.945,inf,1.0
54600.0,-0.713,-4.91,1.399,54600.0,1.0
inf,-7.938,-4.844,-3.115,inf,1.0
inf,8.27,8.66,-2.621,inf,1.0
inf,9.484,2.152,-4.566,inf,1.0
inf,-4.758,-7.48,7.75,inf,1.0
inf,-2.492,9.54,4.258,inf,1.0
inf,-9.74,-7.367,-5.47,inf,1.0
38080.0,3.855,-3.156,2.514,38080.0,1.0
inf,-6.02,9.83,7.883,inf,1.0
53120.0,3.629,-3.318,-5.098,53120.0,1.0
inf,9.54,-5.348,-7.1,inf,1.0
20900.0,0.7393,4.18,3.484,20900.0,1.0
5876.0,1.222,-2.602,0.2996,5876.0,1.0
inf,-6.61,2.742,0.9556,inf,1.0
inf,-6.266,-1.656,8.73,inf,1.0
inf,-5.38,-5.44,-7.867,inf,1.0
44000.0,-4.48,-0.8726,1.456,44000.0,1.0
inf,6.668,-0.588,0.3613,inf,1.0
inf,5.19,-7.895,-7.76,inf,1.0
inf,4.54,-4.824,5.797,inf,1.0
inf,4.125,3.752,-9.016,inf,1.0
8130.0,3.195,2.621,2.008,8130.0,1.0
inf,4.87,-6.17,8.555,inf,1.0
inf,-6.35,-6.285,0.8735,inf,1.0
inf,7.402,2.719,9.625,inf,1.0
inf,6.19,-5.387,-1.205,inf,1.0
inf,2.771,-9.9,8.71,inf,1.0
inf,-5.996,8.3,9.55,inf,1.0
inf,2.783,-5.87,9.04,inf,1.0
inf,6.336,-0.7695,-0.992,inf,1.0
inf,-9.15,-7.3,1.759,inf,1.0
inf,8.82,-9.26,5.934,inf,1.0
inf,-6.3,6.23,5.41,inf,1.0
inf,-6.21,-2.455,9.16,inf,1.0
inf,0.9614,-5.734,3.04,inf,1.0
inf,2.959,-8.73,7.863,inf,1.0
inf,7.094,-4.027,3.705,inf,1.0
inf,-2.299,6.113,8.375,inf,1.0
32340.0,-1.745,-4.18,1.021,32340.0,1.0
inf,4.645,9.4,3.059,inf,1.0
inf,-3.123,-8.57,2.184,inf,1.0
inf,9.09,-4.18,-3.646,inf,1.0
inf,3.791,-4.75,3.98,inf,1.0
inf,8.71,3.8,-9.59,inf,1.0
30530.0,0.1945,4.434,2.738,30530.0,1.0
inf,-4.426,-3.455,-6.707,inf,1.0
inf,-6.285,-2.36,-7.13,inf,1.0
inf,4.48,-3.186,-9.82,inf,1.0
inf,4.21,-6.594,-9.055,inf,1.0
inf,4.977,-7.043,-7.945,inf,1.0
inf,-7.4,-3.33,-1.339,inf,1.0
inf,-7.73,2.523,-6.105,inf,1.0
inf,-7.27,6.848,5.973,inf,1.0
inf,-7.574,-4.934,9.48,inf,1.0
inf,-3.592,-9.92,-1.977,inf,1.0
4492.0,1.427,2.293,-1.435,4492.0,1.0
inf,-9.305,7.668,0.9004,inf,1.0
23650.0,2.63,-4.336,8.336,23650.0,1.0
inf,1.166,-6.05,2.408,inf,1.0
inf,3.049,5.72,6.26,inf,1.0
inf,1.525,8.66,6.38,inf,1.0
inf,1.529,9.96,9.914,inf,1.0
53280.0,-0.09973,5.152,4.035,53280.0,1.0
48500.0,4.38,2.338,-8.74,48500.0,1.0
inf,5.0,7.28,-1.277,inf,1.0
inf,9.44,-7.92,3.486,inf,1.0
inf,-1.829,9.15,8.83,inf,1.0
inf,9.86,4.59,-2.412,inf,1.0
inf,-8.83,8.805,-2.705,inf,1.0
38900.0,-3.867,-3.127,1.909,38900.0,1.0
inf,8.12,0.376,-1.544,inf,1.0
inf,-9.21,1.404,3.607,inf,1.0
inf,9.51,0.287,4.72,inf,1.0
inf,-9.44,2.744,-0.566,inf,1.0
inf,-9.95,5.727,-4.453,inf,1.0
inf,0.2717,8.8,-4.574,inf,1.0
inf,-7.176,-6.098,3.268,inf,1.0
inf,5.004,4.56,2.85,inf,1.0
9816.0,-3.271,2.125,-0.4258,9816.0,1.0
inf,-8.164,7.855,-5.727,inf,1.0
inf,6.21,-4.074,-9.68,inf,1.0
inf,4.004,-9.875,-6.49,inf,1.0
inf,-6.7,6.965,-2.674,inf,1.0
inf,-9.59,1.932,7.887,inf,1.0
inf,-9.77,-5.305,8.62,inf,1.0
inf,-9.64,2.771,9.88,inf,1.0
inf,-7.71,-3.594,5.33,inf,1.0
6584.0,2.346,-2.598,7.07,6584.0,1.0
inf,-0.8564,7.266,7.25,inf,1.0
inf,8.85,6.914,-9.43,inf,1.0
20060.0,-3.53,-1.313,5.016,20060.0,1.0
18660.0,-3.26,-0.63,-7.332,18660.0,1.0
inf,-1.364,-6.4,-5.086,inf,1.0
inf,-1.482,-7.55,7.562,inf,1.0
inf,5.1,6.062,3.352,inf,1.0
30220.0,2.078,-4.594,6.18,30220.0,1.0
12540.0,-3.504,1.092,1.24,12540.0,1.0
inf,3.111,-5.605,3.088,inf,1.0
inf,7.023,4.023,7.66,inf,1.0
5468.0,-1.61,2.1,-2.965,5468.0,1.0
inf,9.85,-1.439,3.027,inf,1.0
inf,5.777,4.96,5.086,inf,1.0
inf,6.855,-4.3,-8.98,inf,1.0
inf,-5.88,-0.009796,5.527,inf,1.0
inf,1.081,-8.53,0.2408,inf,1.0
inf,3.773,8.305,-3.693,inf,1.0
inf,9.66,-9.055,4.88,inf,1.0
13060.0,-3.36,1.53,-3.584,13060.0,1.0
inf,0.2294,8.21,3.719,inf,1.0
34700.0,1.475,-3.857,-2.74,34700.0,1.0
inf,4.348,-5.19,-6.402,inf,1.0
inf,-7.37,7.812,2.885,inf,1.0
inf,2.205,5.617,-1.214,inf,1.0
inf,-8.68,7.527,-7.637,inf,1.0
inf,7.777,-5.65,2.47,inf,1.0
45630.0,-4.33,-2.23,1.013,45630.0,1.0
inf,-6.754,-4.68,-3.037,inf,1.0
inf,9.44,1.668,-2.336,inf,1.0
inf,-9.13,7.473,8.89,inf,1.0
inf,5.89,-0.6855,-9.37,inf,1.0
inf,7.832,4.957,-7.055,inf,1.0
inf,5.223,6.152,-3.111,inf,1.0
inf,-5.703,0.2815,-3.59,inf,1.0
inf,2.832,-7.664,5.36,inf,1.0
inf,0.6313,-5.215,-7.594,inf,1.0
inf,-2.783,8.57,9.766,inf,1.0
inf,5.2,-9.94,-5.836,inf,1.0
inf,-5.844,-0.8403,-4.145,inf,1.0
inf,6.5,7.652,-2.557,inf,1.0
inf,-9.74,-5.19,-3.818,inf,1.0
2860.0,1.375,2.98,3.65,2860.0,1.0
inf,-1.584,-8.836,-2.04,inf,1.0
inf,-7.656,9.86,1.739,inf,1.0
3870.0,-0.8145,-0.5225,6.375,3870.0,1.0
inf,7.367,-3.354,-0.3816,inf,1.0
inf,0.8237,-8.33,3.2,inf,1.0
inf,0.7563,8.984,8.69,inf,1.0
inf,7.918,-4.348,-3.893,inf,1.0
inf,-5.285,7.035,-9.125,inf,1.0
inf,8.56,-3.807,-3.934,inf,1.0
inf,-7.273,3.14,-8.93,inf,1.0
inf,-1.978,-7.05,9.36,inf,1.0
3898.0,-0.139,0.925,7.03,3898.0,1.0
inf,7.16,8.77,0.1863,inf,1.0
inf,6.836,6.535,7.156,inf,1.0
inf,-9.234,3.643,8.875,inf,1.0
62080.0,-0.5728,5.344,4.137,62080.0,1.0
5810.0,-0.8125,-0.2637,-7.492,5810.0,1.0
inf,3.393,8.84,1.032,inf,1.0
inf,4.145,-6.484,-8.766,inf,1.0
inf,6.824,-5.066,-8.45,inf,1.0
inf,-7.695,4.98,-2.287,inf,1.0
inf,-5.633,-0.1725,4.4,inf,1.0
inf,-5.953,1.68,1.831,inf,1.0
inf,-4.92,-4.812,-0.6475,inf,1.0
inf,-7.477,3.479,0.398,inf,1.0
inf,1.864,6.566,9.14,inf,1.0
20580.0,-1.502,-2.387,-7.875,20580.0,1.0
inf,-3.74,8.36,3.605,inf,1.0
inf,-7.28,-9.19,6.645,inf,1.0
inf,-5.406,-9.53,7.266,inf,1.0
inf,7.38,-1.763,-4.953,inf,1.0
inf,-9.61,-6.26,-9.53,inf,1.0
28660.0,3.598,-2.625,0.2532,28660.0,1.0
inf,-3.855,8.555,-5.152,inf,1.0
inf,-8.72,3.64,9.41,inf,1.0
inf,-8.13,-9.29,-3.77,inf,1.0
inf,-6.06,6.812,4.82,inf,1.0
inf,9.41,2.344,3.354,inf,1.0
22940.0,1.615,-2.27,-9.18,22940.0,1.0
inf,5.81,-2.018,8.164,inf,1.0
inf,-8.69,-2.86,2.727,inf,1.0
inf,-4.145,5.555,-4.63,inf,1.0
6068.0,-0.6167,1.441,-5.637,6068.0,1.0
inf,3.9,-5.54,5.074,inf,1.0
inf,-6.41,1.1045,-7.625,inf,1.0
inf,5.746,-1.829,-2.82,inf,1.0
inf,-6.87,2.889,9.125,inf,1.0
17580.0,3.334,0.694,8.68,17580.0,1.0
inf,-1.59,6.85,-3.297,inf,1.0
inf,-9.13,7.234,-1.401,inf,1.0
inf,-7.555,-7.695,2.996,inf,1.0
7110.0,1.749,-1.13,8.59,7110.0,1.0
inf,6.715,-4.184,-7.582,inf,1.0
inf,-3.598,7.074,1.301,inf,1.0
inf,4.89,7.62,0.3757,inf,1.0
6404.0,0.3193,-0.5513,-7.67,6404.0,1.0
inf,-5.066,-1.384,-0.6787,inf,1.0
inf,-4.836,-3.527,7.867,inf,1.0
inf,5.0,-4.47,0.5176,inf,1.0
inf,5.56,7.207,-8.45,inf,1.0
inf,7.773,2.686,-7.887,inf,1.0
inf,-1.809,7.38,7.383,inf,1.0
inf,5.81,7.945,4.312,inf,1.0
37200.0,-2.648,3.121,-9.14,37200.0,1.0
inf,4.03,-7.332,-2.04,inf,1.0
inf,-5.75,-6.65,-2.643,inf,1.0
inf,3.574,-6.45,-0.4905,inf,1.0
inf,-9.02,-5.027,0.4922,inf,1.0
6080.0,-2.977,1.972,7.516,6080.0,1.0
inf,6.113,6.51,5.48,inf,1.0
inf,-1.733,5.227,-4.504,inf,1.0
inf,-9.24,4.97,-5.336,inf,1.0
28270.0,-2.764,-2.516,-7.066,28270.0,1.0
1812.0,0.10004,-1.418,6.01,1812.0,1.0
inf,9.195,7.957,-3.13,inf,1.0
33250.0,4.215,-0.389,1.661,33250.0,1.0
inf,7.992,3.494,-4.312,inf,1.0
inf,-1.636,9.2,-3.398,inf,1.0
35000.0,4.684,3.324,9.234,35000.0,1.0
28220.0,-3.719,0.1497,9.77,28220.0,1.0
5148.0,-1.789,-1.261,7.2,5148.0,1.0
inf,7.56,-2.275,0.588,inf,1.0
inf,-2.604,8.28,-8.51,inf,1.0
inf,-9.94,-3.646,-0.6987,inf,1.0
inf,5.938,-4.81,8.805,inf,1.0
inf,-0.6655,7.21,-2.146,inf,1.0
inf,1.339,9.75,0.815,inf,1.0
inf,-8.94,0.885,1.946,inf,1.0
inf,7.684,-0.7363,9.46,inf,1.0
17310.0,-2.621,1.818,-8.836,17310.0,1.0
inf,6.637,-2.26,6.035,inf,1.0
inf,-8.97,-5.81,-1.035,inf,1.0
inf,-4.42,-6.57,-2.857,inf,1.0
3146.0,-1.349,2.734,1.955,3146.0,1.0
inf,-3.53,8.664,-2.936,inf,1.0
inf,9.164,7.477,7.734,inf,1.0
inf,-5.914,4.375,2.566,inf,1.0
inf,-7.7,-4.082,8.414,inf,1.0
11580.0,3.375,0.7207,-0.8574,11580.0,1.0
inf,3.666,-5.965,-9.73,inf,1.0
inf,-2.922,-9.59,-7.17,inf,1.0
inf,3.654,-6.605,9.555,inf,1.0
inf,-9.83,-8.34,-0.9297,inf,1.0
inf,2.643,-8.21,-8.195,inf,1.0
inf,9.65,-4.46,0.8286,inf,1.0
inf,5.277,6.414,-5.58,inf,1.0
inf,6.926,2.531,-1.978,inf,1.0
inf,-9.195,-8.3,-6.914,inf,1.0
42100.0,4.88,3.42,9.25,42100.0,1.0
inf,6.695,-4.38,-6.55,inf,1.0
inf,5.65,-3.219,4.996,inf,1.0
inf,-2.887,-7.234,7.492,inf,1.0
inf,7.543,5.688,0.7466,inf,1.0
inf,9.914,9.45,0.3577,inf,1.0
inf,5.21,-8.555,-5.637,inf,1.0
inf,7.91,-3.568,2.635,inf,1.0
52000.0,-4.83,0.5425,1.092,52000.0,1.0
inf,0.952,5.938,4.273,inf,1.0
inf,-0.3594,8.42,-3.527,inf,1.0
inf,9.44,-5.18,6.55,inf,1.0
inf,-6.074,2.613,2.76,inf,1.0
inf,-5.594,9.2,-8.586,inf,1.0
7748.0,-1.136,-1.087,-7.29,7748.0,1.0
inf,-2.836,-9.12,5.14,inf,1.0
inf,-8.14,1.808,9.67,inf,1.0
inf,-6.414,4.418,0.342,inf,1.0
14690.0,3.115,-1.815,7.03,14690.0,1.0
3994.0,-2.166,0.2505,4.543,3994.0,1.0
inf,-8.914,-5.035,-5.47,inf,1.0
36200.0,-3.77,2.62,-8.22,36200.0,1.0
inf,9.51,9.74,9.7,inf,1.0
inf,9.53,1.4,4.6,inf,1.0
inf,-9.47,6.6,2.17,inf,1.0
5470.0,-0.8086,-0.626,7.676,5470.0,1.0
inf,-0.4312,-7.15,-2.469,inf,1.0
inf,-8.35,3.111,8.61,inf,1.0
inf,-6.54,9.484,6.633,inf,1.0
43800.0,0.3088,4.78,2.469,43800.0,1.0
20450.0,-1.052,4.87,9.945,20450.0,1.0
inf,-7.324,-9.57,7.285,inf,1.0
inf,6.406,-2.502,7.355,inf,1.0
inf,5.035,9.16,-0.1151,inf,1.0
24380.0,-3.584,-0.4277,8.4,24380.0,1.0
60770.0,3.81,-4.434,3.928,60770.0,1.0
inf,-9.555,-4.508,0.886,inf,1.0
inf,3.3,-8.49,0.7876,inf,1.0
inf,7.99,-1.539,3.178,inf,1.0
inf,-5.727,2.111,5.9,inf,1.0
inf,-9.04,-4.16,-4.215,inf,1.0
inf,9.984,-0.318,5.66,inf,1.0
inf,0.9546,-5.39,1.257,inf,1.0
inf,7.91,4.938,-0.698,inf,1.0
inf,-5.93,0.1527,5.145,inf,1.0
inf,8.09,1.236,-4.535,inf,1.0
inf,-5.004,8.44,-3.24,inf,1.0
23860.0,-2.203,-2.092,-9.414,23860.0,1.0
27800.0,-0.389,4.99,8.914,27800.0,1.0
inf,1.488,-6.75,-1.488,inf,1.0
inf,4.074,-4.844,-7.707,inf,1.0
inf,-5.65,6.543,7.613,inf,1.0
inf,4.12,5.39,-8.305,inf,1.0
inf,-9.164,-7.81,-9.414,inf,1.0
inf,3.441,-3.791,-9.73,inf,1.0
inf,-6.617,-8.73,5.824,inf,1.0
59740.0,-4.81,4.44,3.98,59740.0,1.0
inf,-4.734,-3.006,-3.117,inf,1.0
inf,-0.4746,5.945,-8.96,inf,1.0
inf,4.477,5.02,-5.35,inf,1.0
inf,-2.553,6.992,8.625,inf,1.0
inf,3.574,3.87,-9.86,inf,1.0
inf,5.098,6.332,5.64,inf,1.0
inf,9.79,3.51,-0.7593,inf,1.0
inf,0.9316,8.48,-0.5977,inf,1.0
3248.0,1.905,0.7227,-4.38,3248.0,1.0
704.0,0.604,2.348,7.27,704.0,1.0
7860.0,-2.596,-0.8086,5.29,7860.0,1.0
inf,4.867,8.414,7.637,inf,1.0
inf,-8.484,1.128,4.082,inf,1.0
8690.0,2.195,-1.608,-4.156,8690.0,1.0
inf,6.496,-6.45,2.092,inf,1.0
inf,-7.926,8.586,4.176,inf,1.0
inf,-7.906,-8.09,2.773,inf,1.0
inf,-9.77,-0.978,9.3,inf,1.0
inf,2.768,-9.15,-4.996,inf,1.0
inf,-7.297,3.229,-1.577,inf,1.0
inf,-0.05334,7.02,-3.197,inf,1.0
57700.0,-2.805,4.3,-5.266,57700.0,1.0
inf,6.965,-9.125,-1.622,inf,1.0
inf,-0.3967,8.41,-0.3738,inf,1.0
inf,-8.63,5.383,-2.574,inf,1.0
inf,1.321,-5.387,-9.39,inf,1.0
inf,-6.758,-4.543,6.76,inf,1.0
inf,-5.402,-6.94,5.473,inf,1.0
inf,0.9727,-9.1,2.95,inf,1.0
inf,-1.824,-5.215,-7.215,inf,1.0
inf,8.38,-2.02,-3.078,inf,1.0
inf,-2.764,-9.266,-8.29,inf,1.0
5536.0,1.373,-1.839,9.81,5536.0,1.0
inf,-9.49,-3.988,1.876,inf,1.0
54100.0,-4.688,-0.2192,-6.85,54100.0,1.0
inf,9.26,-4.863,-1.135,inf,1.0
inf,-8.3,1.322,-3.736,inf,1.0
inf,-7.383,6.18,-0.4138,inf,1.0
inf,9.164,4.664,-2.705,inf,1.0
inf,7.55,3.008,7.414,inf,1.0
27870.0,-1.872,4.516,3.75,27870.0,1.0
inf,-6.246,-7.83,4.867,inf,1.0
inf,-1.61,6.16,-0.5864,inf,1.0
8170.0,1.314,0.2773,9.0,8170.0,1.0
inf,7.38,-6.566,-8.375,inf,1.0
52200.0,4.035,-2.836,-4.473,52200.0,1.0
inf,0.309,8.44,7.645,inf,1.0
inf,5.445,7.723,-3.332,inf,1.0
28270.0,-4.207,2.916,0.4958,28270.0,1.0
46400.0,-3.945,4.523,1.991,46400.0,1.0
inf,7.25,-2.64,3.014,inf,1.0
inf,-1.458,9.125,6.594,inf,1.0
inf,-7.29,3.715,7.152,inf,1.0
inf,-0.6514,6.33,7.574,inf,1.0
1328.0,-0.6646,2.352,2.434,1328.0,1.0
inf,-4.332,-6.426,3.803,inf,1.0
inf,-2.389,-6.934,-1.882,inf,1.0
471.0,1.837,1.949,2.168,471.0,1.0
inf,9.234,8.48,-2.904,inf,1.0
inf,2.477,-6.062,-8.234,inf,1.0
31340.0,-0.2837,3.385,-5.94,31340.0,1.0
61400.0,3.395,4.74,-1.366,61400.0,1.0
inf,-5.92,-4.758,9.46,inf,1.0
inf,-3.35,9.086,-2.146,inf,1.0
inf,6.133,2.879,4.465,inf,1.0
17040.0,3.322,-0.7314,-5.094,17040.0,1.0
inf,-9.23,-8.83,-1.586,inf,1.0
inf,-7.316,0.3662,0.3132,inf,1.0
inf,6.227,-7.082,8.58,inf,1.0
9680.0,1.409,0.208,-9.63,9680.0,1.0
inf,6.04,5.547,1.918,inf,1.0
inf,3.463,-4.867,-8.95,inf,1.0
inf,-7.14,3.17,0.2301,inf,1.0
inf,3.525,-6.08,8.86,inf,1.0
inf,-8.8,-7.016,-7.598,inf,1.0
21020.0,1.2295,-3.596,-0.6406,21020.0,1.0
1670.0,-1.692,-0.842,2.402,1670.0,1.0
inf,-6.906,1.635,-4.535,inf,1.0
inf,-4.348,-6.75,3.742,inf,1.0
59460.0,1.4375,-4.89,0.5474,59460.0,1.0
inf,9.41,9.87,2.06,inf,1.0
48540.0,0.5615,3.875,-6.723,48540.0,1.0
inf,-8.98,-4.777,5.145,inf,1.0
18620.0,0.794,-3.713,0.8633,18620.0,1.0
inf,5.04,-1.851,-6.273,inf,1.0
inf,-0.3193,6.082,7.53,inf,1.0
inf,-6.258,8.38,7.57,inf,1.0
inf,3.893,-5.52,-8.73,inf,1.0
9360.0,3.016,2.7,0.02739,9360.0,1.0
inf,5.965,9.21,-5.86,inf,1.0
inf,6.094,5.0,7.934,inf,1.0
inf,-5.395,-5.37,3.236,inf,1.0
inf,7.715,5.273,-6.44,inf,1.0
inf,9.38,-0.3564,-1.061,inf,1.0
inf,3.89,5.934,8.15,inf,1.0
inf,2.37,-7.13,7.855,inf,1.0
inf,6.652,-9.8,-1.433,inf,1.0
inf,6.523,4.332,9.63,inf,1.0
inf,-7.445,4.46,9.37,inf,1.0
inf,-4.15,-9.89,-5.35,inf,1.0
inf,9.4,2.049,1.634,inf,1.0
inf,-7.445,5.434,4.88,inf,1.0
inf,-7.58,0.2668,-6.65,inf,1.0
inf,7.91,0.5005,-2.535,inf,1.0
inf,1.085,7.164,9.31,inf,1.0
inf,-8.02,6.76,2.514,inf,1.0
inf,-3.723,-5.273,8.4,inf,1.0
inf,-8.53,4.1,-7.53,inf,1.0
inf,-2.584,-4.914,-0.197,inf,1.0
inf,9.875,0.3042,-7.074,inf,1.0
inf,7.094,-2.016,-5.55,inf,1.0
36.72,-0.3132,-0.2566,-0.3909,36.72,1.0
inf,-5.46,9.02,-6.812,inf,1.0
8280.0,1.159,3.842,6.008,8280.0,1.0
inf,2.035,-6.04,3.26,inf,1.0
inf,-9.76,6.38,-1.609,inf,1.0
3820.0,-1.011,0.6416,-5.754,3820.0,1.0
inf,7.785,-3.443,-4.67,inf,1.0
inf,8.13,0.07294,3.107,inf,1.0
inf,-5.664,-6.383,8.65,inf,1.0
inf,-0.5117,-9.64,-1.019,inf,1.0
44400.0,2.383,-4.1,-1.825,44400.0,1.0
inf,1.022,-9.164,-1.0205,inf,1.0
inf,0.2162,-7.85,6.95,inf,1.0
inf,8.56,-5.688,-3.182,inf,1.0
5588.0,-0.608,-3.336,4.652,5588.0,1.0
7572.0,2.447,-1.246,-3.277,7572.0,1.0
40480.0,-3.766,-2.838,-2.67,40480.0,1.0
inf,8.61,-0.0804,-3.809,inf,1.0
inf,6.87,5.36,-9.4,inf,1.0
inf,8.08,-1.756,-6.3,inf,1.0
6564.0,-0.565,2.1,-3.492,6564.0,1.0
inf,7.926,-9.484,5.44,inf,1.0
inf,5.594,-4.76,3.756,inf,1.0
40030.0,3.86,4.797,5.75,40030.0,1.0
inf,-8.42,1.421,2.053,inf,1.0
inf,7.84,-0.486,-6.562,inf,1.0
